State,Abbr,Capital,Largest city,Population,Total area in SqMiles,House seats
Alabama,AL,Montgomery,Birmingham,4858979,52420,7
Alaska,AK,Juneau,Anchorage,738432,665384,1
Arizona,AZ,Phoenix,Phoenix,6828065,113990,9
Arkansas,AR,Little Rock,Little Rock,2978204,53179,4
California,CA,Sacramento,Los Angeles,39144818,163695,53
Colorado,CO,Denver,Denver,5456574,104094,7
Connecticut,CT,Hartford,Bridgeport,3590886,5543,5
Delaware,DE,Dover,Wilmington,945934,2489,1
Florida,FL,Tallahassee,Jacksonville,20271272,65758,27
Georgia,GA,Atlanta,Atlanta,10214860,59425,14
Hawaii,HI,Honolulu,Honolulu,1431603,10932,2
Idaho,ID,Boise,Boise,1654930,83569,2
Illinois,IL,Springfield,Chicago,12859995,57914,18
Indiana,IN,Indianapolis,Indianapolis,6619680,36420,9
Iowa,IA,Des Moines,Des Moines,3123899,56273,4
Kansas,KS,Topeka,Wichita,2911641,82278,4
Kentucky,KY,Frankfort,Louisville,4425092,40408,6
Louisiana,LA,Baton Rouge,New Orleans,4670724,52378,6
Maine,ME,Augusta,Portland,1329328,35380,2
Maryland,MD,Annapolis,Baltimore,6006401,12406,8
Massachusetts,MA,Boston,Boston,6794422,10554,9
Michigan,MI,Lansing,Detroit,9922576,96714,14
Minnesota,MN,St. Paul,Minneapolis,5489594,86936,8
Mississippi,MS,Jackson,Jackson,2992333,48432,4
Missouri,MO,Jefferson City,Kansas City,6083672,69707,8
Montana,MT,Helena,Billings,1032949,147040,1
Nebraska,NE,Lincoln,Omaha,1896190,77348,3
Nevada,NV,Carson City,Las Vegas,2890845,110572,4
New Hampshire,NH,Concord,Manchester,1330608,9349,2
New Jersey,NJ,Trenton,Newark,8958013,8723,12
New Mexico,NM,Santa Fe,Albuquerque,2085109,121590,3
New York,NY,Albany,New York,19795791,54555,27
North Carolina,NC,Raleigh,Charlotte,10042802,53819,13
North Dakota,ND,Bismarck,Fargo,756927,70698,1
Ohio,OH,Columbus,Columbus,11613423,44826,16
Oklahoma,OK,Oklahoma City,Oklahoma City,3911338,69899,5
Oregon,OR,Salem,Portland,4028977,98379,5
Pennsylvania,PA,Harrisburg,Philadelphia,12802503,46054,18
Rhode Island,RI,Providence,Providence,1056298,1545,2
South Carolina,SC,Columbia,Columbia,4896146,32020,7
South Dakota,SD,Pierre,Sioux Falls,858469,77116,1
Tennessee,TN,Nashville,Memphis,6600299,42144,9
Texas,TX,Austin,Houston,27469114,268596,36
Utah,UT,Salt Lake City,Salt Lake City,2995919,84897,4
Vermont,VT,Montpelier,Burlington,626042,9616,1
Virginia,VA,Richmond,Virginia Beach,8382993,42775,11
Washington,WA,Olympia,Seattle,7170351,71298,10
West Virginia,WV,Charleston,Charleston,1844128,24230,3
Wisconsin,WI,Madison,Milwaukee,5771337,65496,8
Wyoming,WY,Cheyenne,Cheyenne,586107,97813,1